tweet,label
@USER Why cause you are unwilling to look at the science?  URL,harmless
@USER @USER @USER So you are defending antifa? Is that your stance?,harmless
@USER @USER @USER @USER @USER @USER wish Guy Opperman would knockmy door! 1950's/1960's infact everyone LOOKOUT this 'Guy' will tellU you Hv to work till nearly 70 U dont  it's a LIE  just didn't ring fence our NIC's for last 24yrs! £271bill! If today YP worked as long as 1950's they wld be 76SPA! Read #BATTLEBUS URL,harmless
@USER 45 is sweating. He knows he is screwed..tick rock. Orange is the New Orange.,harmless
@USER @USER WHAT A DOG..SHE IS...,harmful
@USER she’s just jealous of how cute you are with your scrunchie &amp; crocs!!! wear them proudly sweet pea!! 💓💕,harmless
@USER @USER @USER @USER He looks like a Antifa dude. Dude.,harmless
@USER Going about it the wrong way,harmless
@USER @USER The AWB had no effect on crime. That's why it was not resigned into law 10 years after it was 1st signed and allowed to sunset. It also was the beginning of the end for Clinton and his corrupt administration. I love when they screech gun control! It means they lose in elections!,harmless
"Dear Liberal #FakeNewsMedia This gesture you call a white power"" gesture is actually what we NORMAL people call the ""OK"" gesture.  I realize this is not as fun as your make believe ""white power"" name but yeah. That's what it means.  OK ? OK! #WalkAway #MAGA URL",harmful
@USER ... Jim Carrey’s LA mansion. Plus a $13 million penthouse in New York. URL,harmless
@USER @USER @USER please get OFF first take! You yell wayy too much and you seem like you are being a asshole. When you are on set I litterly can't hear anything but screaming. Its obvious @USER dont like you and @USER and @USER was like dude stfu!!,harmful
@USER @USER @USER Thanks for proving democrats can’t let their people think. Proving again Liberals are all talk. Just like Senator Feinstein Pelosi. They always go to no facts just destroy. Just like the politicians of Puerto Rico have destroyed and rob the state of all of its financial resources,harmless
@USER Those options are weak the situation was lot more complex. To answer your question tho she is a star and if her head is big she earned it and no the umpires shouldnt boycott. People always want to make and example out of serena like this has never happened before,harmless
@USER I wouldn't say I'm conflicted - Article 7 would be justified - but you are right in stating that the really important decision will be taken (or postponed) inside the @USER The Sargentini report was but a prelude. Those who want #Orban out should now push harder.,harmless
@USER But we'll make it through this dark patch. History won't repeat itself. The evil of anti-Semitism can't count on the indifference and complicity that once killed millions. The good people of the UK and Europe will stand up for each other. You are important here. 2/2,harmless
#Liberals grasp at unproven straws ... #NotPlastic URL,harmful
@USER She is beautiful,harmless
@USER @USER You forgot to not run for office or disagree with Diane Feinstein or liberals or have wrong think.,harmless
@USER There are more good people than criminals.  If the good people are armed the criminals won’t stand a chance.  In the USA the cities with the highest violent crime rates are those with the strictest gun control.  The Swiss are all armed and trained - violent crime is rare.,harmful
@USER She has not been coached well enough yet.  This whole thing is a scam to delay a vote so that it is a midterm election talking point.  Conservatives should make it a non issue by turning out in record numbers to support MAGA agenda and candidates.,harmless
@USER @USER @USER Most stupid tweet yet...and yes...its a libtard🤣🤣🤣👌💩,harmful
*waits for a buncha braindead rednecks to burn the Levi's that they're wearing and get hauled off to the ER en masse* URL,harmful
"@USER My sister by far. She is the kindest, sweetest person alive. Use to be my grandma but she passed in May. That woman was a saint. Even had a song written about her, My mom's a saint"". Written by her children of course. URL",harmless
@USER @USER Eric is a crook and that’s that,harmful
".....""  And he is shuting up.  Don't mess with Yumi. Don't ever mess with Ms. Yuzuki.""",harmful
@USER He and Obama must be copying each other does any democrat have their own thought PLEASE !!!,harmful
