tweet,label
@USER polls pls,Harmless
@USER Yeahh tbh most that do are weirdos and think about sex in a very weird way.,Harmful
@USER you know Dan I used to think you were a pretty competent newsman now I can clearly see you are nothing more then a paid whore who sells himself and his once stellar reputation. Trying to be relevant again ? URL,Harmless
@USER This will be settled and will never see a jury. We will never know the truth. Maybe she grabbed him first while swapping spit or he is really that stupid to just grab her. Either way I doubt we will ever know the complete truth.,Harmful
@USER @USER We need a wild wild web for conservatives.,Harmless
@USER “My head is a fuckin egg”,Harmful
@USER #cnn will go down in flames with the rest of the liberals.  They are far too clueless to change.,Harmful
@USER @USER Collins is not who she tries to make people believe she is.,Harmless
@USER Leftist Collusion PreScreening Party,Harmful
@USER #BrettKavanaugh is the right man for the job. Liberals need to give up already.,Harmless
@USER He is compromising an active investigation. Sounds like obstruction of justice to me!,Harmless
All Trump's and Pense 2020 merch is being made is China and not the USA.    ...maga ??   #VoteThemOut2018  #TrumpsArmy URL,Harmful
Snowflake @USER - whine whine whine #MAGA  baby URL,Harmful
@USER antifa getting shot only brings joy,Harmless
He’s Back !!  James O’Keefe’s ‘Project Veritas’ Exposes The DEEP STATE In A New Series Of Videos  He Exposes A State Dept Employee Organizing For The ‘Democrat Socialist Of America’ While At Work And Your Tax Dollars Pay Him  #TuesdayTips #MAGA #KAG  URL URL,Harmless
@USER can you share my twtich? Trying to make that shit work out URL,Harmful
@USER @USER that's hilarious.... let those #PuertoRicans legalize pot so they can forget about their problems after #HurricaneMaria...🇺🇸💵😏🤣  #ThursdayThoughts #ThursdayMotivation #resistance #resist #MAGA #Military #veterans #TCOT #ThisIsAmerica URL,Harmful
@USER @USER @USER @USER He did not born so he is not pakistani?Get a life man.If ur wife deleiver boy in london nd back to pk so the baby is not pakistani?You nd  ur wife r not pakistani?Just some papers of registration in london make ur boy non Pakistani 😂😉.Honey see the forefathers history.,Harmful
@USER He is only or 2 games? I thought it was 4 fire some reason,Harmless
@USER Dump MasterCard,Harmless
@USER @USER I support Jahs blessings on his hussle ....he is d bomb,Harmful
@USER @USER But to go all antifa on ppl like friggen Milo? I don't buy that conservatives who like medicare don blackout and then going millennials for antifa protests.,Harmful
@USER Dont believe the hype.,Harmful
@USER Elections have consequences. And if the left continues the direction they are heading in they will not win another one for a long time. #keepitup. #LiberalismIsAMentalDisease,Harmless
@USER DJT2- You have to remember his daughter is married to am Iranian and so he defends them at all costs. He is a coward and a disgrace. Thank GOD for your Dad or we would all be in a World of hurt!,Harmful
@USER Here’s another looney left person. Just go away!,Harmless
@USER Didn't sound bitter to me. The main message was  to recall American values and urge people to quit complaining and vote.,Harmless
@USER The judge and some other guy need to come out and say they are lovers and have been since high school. That would really fuck with liberals. 😎,Harmful
@USER @USER Actually he is a soy boy.,Harmful
@USER @USER @USER @USER Good grief!  That's a relief!  Now get rid of Antifa.,Harmful
@USER He has no social graces. That is why he was shunned by NY proper everyone knows he's white trash with a little money.   He does not know how to act and makes everything about him. Always. He is just a Me ME Me  POS that is an embarrassment to the USA.,Harmful
@USER is unstoppable! This QB can’t be this good can he? Have to feel for @USER He needs to transfer. Can’t help but have a funny feeling he is going to save Bama at some point this year. Never know. @USER @USER,Harmless
.She is dirty like Trump...She stole Ted Cruz campaign voters list and gave it to Trump URL,Harmful
@USER He knows he dosen't have much time left before he is brought down.,Harmless
@USER @USER Racist all she is. My god less then 10% of population and cry 😿 more then other 90 put together. Trump doing a great job just cause he got white skin ya don't need hate on him over and over and over,Harmful
@USER She is Evil!  How dare her.,Harmful
@USER @USER Did you reply to him with Haleigh for AFP? I think he is blocking for that.,Harmless
@USER Nigga you are about to lose,Harmful
@USER Chicago already has the toughest gun control laws in the country. Democrats want to disarm law abiding citizens but criminals will always have guns.,Harmful
@USER @USER @USER Of course not she is young and dumb. If she really had a brain she wouldn't believe in socialism,Harmful
@USER @USER He was fucking murdered and all you can talk about is marijuana?,Harmful
"@USER @USER @USER You are full of shit Sweetie""""",Harmful
@USER I`m with you JR.She is nothing.Don`t waste your time on human waste!,Harmful
@USER @USER @USER would help them but he is in his own sunken place..   @USER  to the rescue ? URL,Harmful
@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,Harmless
@USER @USER I could care less about  his viewpoints as he is NOT a hero of mine and I prefer a more scholar-like man in  conservatism such as X.Not everyone has to take his stance as  heroic and may look to other leaders to define what a hero is. You don’t get to think for other people,Harmless
@USER is shaking while answering question clearly she is no comfortable #onpoli,Harmless
@USER If Jamie Oliver fucks with my £3 meal deals at Tesco I’ll kill the cunt,Harmful
#Labour #SWaGodKing  British Conservatives made a grave error protecting Viktor Orban - URL via @USER,Harmless
@USER all these  accusations  were to just write a book . There was never an affair  If it were true why would we trust u  . You took the money  and still told about it.  Why do people call you by your prostitute name  . Maga 45 .,Harmless
@USER The Show Must Go On! We must have crazy liberals screaming and throwing a tantrum inside of that courtroom? If they let these same animals in as they did during the hearings this is just going to be another circus,Harmful
@USER Glad to hear you are ok.  My father went through surgery for Bladder Cancer last year and is now in remission at age of 88.  Years of exposure to lacquer fumes while  spraying and staining cabinets may have contributed to his occurrance.,Harmless
@USER  Money better spent on American Mental Health or gun control Sandy hook Vegas Concert Theater Shooting Church in Sunny Springs,Harmful
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER PC or not has NOTHING to do with common decency...🙄,Harmless
@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the shit that goes on in your head.,Harmful
@USER @USER liked Trump but he is too scared from democrats. Plus he is making millions making unprofessional short videos. Its pretty much like looting the liberals but legally,Harmless
@USER and he took away the constitution from us.  congress refuses to restore it to us why is that?  Article 4 sec 4 was taken away..  and because of that there are NO gun control laws anymore. OBAMA is a STUPID MAN,Harmful
@USER At least brennan is smart enough to recognize that Trump is a lion. He's not smart enough to know that he can't hurt Trump. Hurting Trump is what that idiot fantasies about.,Harmful
@USER @USER so true for lucky she is appearing in lot of projects,Harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work. If you want to control a population.  Australian gun control had no effect on homicides.,Harmful
"@USER They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""",Harmful
@USER Than we wonder why the Dems. are blooming idiots here is a fine example. How to teach your kid to be a vulgar protester. Way to go Dems. this kid will grow up to become President of Antifa.,Harmful
@USER @USER Forget that @USER called @USER a con man and a KKK supporter...she actually voted  for @USER Doesn't that sum up how truly unqualified she is for Florida,Harmful
@USER Because he didn’t do any think Sorry that not true you and Obama screw the American people when ever you could!,Harmful
@USER @USER @USER @USER Don't feel sorry for her. She is so greedy she even hides her Patreon amount and dumb kids keep donating for watching her playing games and whispering into a mic.,Harmful
.@USER real goal: To make everyone in Wisconsin as dumb as he is. URL,Harmful
@USER She says no. You are now sad. She then realizes what you might actually mean. She slaps you. She says no. Now you are sad AND your face hurts.,Harmful
@USER Was Al Gore nominated for Supreme Court judge? You conservatives have some nerve.,Harmful
@USER Beto-male,Harmless
@USER @USER These are sick ass people URL,Harmful
@USER @USER They're NOT   #BuildTheWall #LockThemUp #DrainTheDeepState #NFLWalkAway &amp; #MAGA,Harmless
@USER Trump will blame it on the immigrants for coming and 'liberals' for noticing. He likely thinks Head Start/HIV are wasteful spending. Comgress can no longer pass 'broad' budgets.  They will need to itemize every $ and forbid diversion without Congressional permission,Harmless
@USER Do you know how rare she is? Gingers are mostly males. Gorgeous,Harmless
@USER Yep this is the world the liberals want to live in.,Harmless
